-OR-,-OU-
2-pixel perimeter around the header space.,aproximadamente 2-pixel em torno do espaço do cabeçalho.
3D Secure,3D Secure
3D Secure Card Validation,Validação de Cartão 3D Secure
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Validação 3D Secure é obrigatório para cartões Maestro. Suporte à cartões American Express exigem outros termos e condições. Saiba mais em <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Agora aceitando pagamentos PayPal!</a>"
A case that has been resolved and close requires a reimbursement.,Um caso que foi resolvido e encerrado exige um reembolso.
A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.,Foi realizado uma reversão nesta transação porque o cliente declara ter sido feita uma cobrança não autorizada.
A reversal has occurred on this transaction because you have given the customer a refund.,Foi realizado uma reversão nesta transação porque você concedeu reembolso ao cliente.
A reversal has occurred on this transaction due to a chargeback by your customer.,Foi realizado uma reversão nesta transação devido a um estorno ao cliente.
A reversal has occurred on this transaction due to a complaint about the transaction from your customer.,Foi realizado uma reversão nesta transação devido uma reclamação do seu cliente.
A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.,Foi realizado uma reversão nesta transação pelo cliente ter exigido sua garantia de devolução do dinheiro.
A value is required for live mode. Refer to your CardinalCommerce agreement.,Um valor é exigido no modo live. Consulte seu contrato CardinalCommerce.
ACH Deposit (Hold for Dispute or Other Investigation),ACH Depósito (Segurar p/ Disputa ou Outras Investigações)
ACH Deposit (Reversal),ACH Depósito (Estorno)
ACH Funding for Funds Recovery from Account Balance,ACH Financiamento p/ Recuperação de Fundos do Saldo da Conta
ACH Withdrawal,Saque ACH
API Authentication Methods,API Métodos de Autenticação
API Certificate,API Certificados
API Password,API Senha
API Signature,API Assinatura
API Username,API Usuário
API Uses Proxy,API Proxy
Ability for buyer to purchase without PayPal account.,Permitir que o cliente compre sem ter uma conta PayPal.
Accept credit card and PayPal payments securely.,Permitir cartão de crédito e pagamentos PayPal seguro.
"Accept credit cards, debit cards and PayPal payments securely.","Permitir cartão de crédito, cartão de débito e pagamentos PayPal seguro."
